geoid,geoid20,year,denom_total_pop,well_count,well_rate
1400000US06037101110,6037101110,2020,3923,0,0
1400000US06037101122,6037101122,2020,4119,0,0
1400000US06037101220,6037101220,2020,3775,0,0
1400000US06037101221,6037101221,2020,3787,0,0
1400000US06037101222,6037101222,2020,2717,0,0
1400000US06037101300,6037101300,2020,3741,0,0
1400000US06037101400,6037101400,2020,3246,0,0
1400000US06037102103,6037102103,2020,1920,0,0
1400000US06037102104,6037102104,2020,4187,0,0
1400000US06037102105,6037102105,2020,1797,0,0
1400000US06037102107,6037102107,2020,4082,0,0
1400000US06037103101,6037103101,2020,2484,0,0
1400000US06037103102,6037103102,2020,4716,0,0
1400000US06037103201,6037103201,2020,3961,1,2.524615
1400000US06037103202,6037103202,2020,2569,2,7.7851305
1400000US06037103300,6037103300,2020,3726,0,0
1400000US06037103401,6037103401,2020,2596,0,0
1400000US06037103402,6037103402,2020,3795,0,0
1400000US06037104103,6037104103,2020,3969,1,2.5195262
1400000US06037104105,6037104105,2020,5711,0,0
1400000US06037104108,6037104108,2020,5551,0,0
1400000US06037104124,6037104124,2020,3843,5,13.010669
1400000US06037104201,6037104201,2020,4718,0,0
1400000US06037104203,6037104203,2020,5420,0,0
1400000US06037104204,6037104204,2020,3684,6,16.286646
1400000US06037104310,6037104310,2020,4961,1,2.0157228
1400000US06037104321,6037104321,2020,3128,0,0
1400000US06037104322,6037104322,2020,2005,2,9.9750624
1400000US06037104401,6037104401,2020,3134,1,3.1908104
1400000US06037104403,6037104403,2020,2723,0,0
1400000US06037104404,6037104404,2020,3592,0,0
1400000US06037104500,6037104500,2020,2866,0,0
1400000US06037104610,6037104610,2020,3473,0,0
1400000US06037104620,6037104620,2020,3559,0,0
1400000US06037104701,6037104701,2020,3957,0,0
1400000US06037104703,6037104703,2020,2410,0,0
1400000US06037104704,6037104704,2020,4525,0,0
1400000US06037104821,6037104821,2020,3268,1,3.0599756
1400000US06037104822,6037104822,2020,2566,1,3.8971162
1400000US06037104823,6037104823,2020,3526,0,0
1400000US06037104824,6037104824,2020,2639,0,0
1400000US06037106010,6037106010,2020,3444,0,0
1400000US06037106020,6037106020,2020,5154,0,0
1400000US06037106111,6037106111,2020,4428,0,0
1400000US06037106112,6037106112,2020,5214,1,1.9179133
1400000US06037106113,6037106113,2020,3712,1,2.6939654
1400000US06037106114,6037106114,2020,6575,0,0
1400000US06037106403,6037106403,2020,3486,0,0
1400000US06037106405,6037106405,2020,4404,0,0
1400000US06037106406,6037106406,2020,6288,1,1.5903308
1400000US06037106407,6037106407,2020,2618,0,0
1400000US06037106408,6037106408,2020,3822,0,0
1400000US06037106510,6037106510,2020,6133,4,6.5220938
1400000US06037106520,6037106520,2020,5710,0,0
1400000US06037106603,6037106603,2020,3658,76,207.76381
1400000US06037106604,6037106604,2020,4572,0,0
1400000US06037106641,6037106641,2020,2271,0,0
1400000US06037106642,6037106642,2020,3294,3,9.1074677
1400000US06037106643,6037106643,2020,4511,15,33.252052
1400000US06037106645,6037106645,2020,4158,2,4.8100047
1400000US06037106646,6037106646,2020,3028,1,3.30251
1400000US06037106648,6037106648,2020,4264,0,0
1400000US06037106649,6037106649,2020,2916,1,3.4293554
1400000US06037107010,6037107010,2020,3243,0,0
1400000US06037107020,6037107020,2020,5759,0,0
1400000US06037108101,6037108101,2020,2303,1,4.3421626
1400000US06037108102,6037108102,2020,3327,7,21.039976
1400000US06037108103,6037108103,2020,3082,1,3.2446463
1400000US06037108104,6037108104,2020,1818,0,0
1400000US06037108202,6037108202,2020,8148,1,1.227295
1400000US06037108203,6037108203,2020,3273,1,3.055301
1400000US06037108204,6037108204,2020,1893,1,5.28262
1400000US06037109100,6037109100,2020,2647,4,15.111447
1400000US06037109200,6037109200,2020,2746,1,3.6416607
1400000US06037109300,6037109300,2020,2908,0,0
1400000US06037109400,6037109400,2020,4044,1,2.4727993
1400000US06037109500,6037109500,2020,4720,0,0
1400000US06037109601,6037109601,2020,4877,2,4.1008816
1400000US06037109603,6037109603,2020,4233,0,0
1400000US06037109604,6037109604,2020,3013,0,0
1400000US06037109700,6037109700,2020,4787,1,2.0889909
1400000US06037109800,6037109800,2020,5221,2,3.8306837
1400000US06037111100,6037111100,2020,3156,0,0
1400000US06037111201,6037111201,2020,3459,0,0
1400000US06037111202,6037111202,2020,5593,0,0
1400000US06037111204,6037111204,2020,5909,5,8.461669
1400000US06037111205,6037111205,2020,3905,1,2.5608194
1400000US06037111206,6037111206,2020,4363,0,0
1400000US06037111302,6037111302,2020,5253,0,0
1400000US06037111303,6037111303,2020,4835,0,0
1400000US06037111304,6037111304,2020,2752,1,3.6337209
1400000US06037111401,6037111401,2020,2353,0,0
1400000US06037111402,6037111402,2020,6535,0,0
1400000US06037113101,6037113101,2020,3590,0,0
1400000US06037113102,6037113102,2020,2783,0,0
1400000US06037113211,6037113211,2020,4264,1,2.3452158
1400000US06037113212,6037113212,2020,2998,0,0
1400000US06037113213,6037113213,2020,5652,0,0
1400000US06037113231,6037113231,2020,2275,0,0
1400000US06037113232,6037113232,2020,4394,2,4.5516615
1400000US06037113234,6037113234,2020,5400,0,0
1400000US06037113235,6037113235,2020,1699,0,0
1400000US06037113237,6037113237,2020,5004,1,1.9984013
1400000US06037113238,6037113238,2020,4313,0,0
1400000US06037113239,6037113239,2020,2183,0,0
1400000US06037113301,6037113301,2020,3972,0,0
1400000US06037113303,6037113303,2020,3779,2,5.2924056
1400000US06037113322,6037113322,2020,4680,0,0
1400000US06037113323,6037113323,2020,4029,0,0
1400000US06037113324,6037113324,2020,2844,0,0
1400000US06037113423,6037113423,2020,3017,0,0
1400000US06037113424,6037113424,2020,3493,1,2.8628685
1400000US06037113425,6037113425,2020,4407,0,0
1400000US06037113426,6037113426,2020,2414,1,4.1425023
1400000US06037113427,6037113427,2020,1770,0,0
1400000US06037113428,6037113428,2020,4237,0,0
1400000US06037115101,6037115101,2020,4932,1,2.027575
1400000US06037115103,6037115103,2020,3181,1,3.1436656
1400000US06037115104,6037115104,2020,4619,0,0
1400000US06037115202,6037115202,2020,6393,1,1.5642109
1400000US06037115203,6037115203,2020,2652,0,0
1400000US06037115204,6037115204,2020,4054,0,0
1400000US06037115301,6037115301,2020,4648,0,0
1400000US06037115302,6037115302,2020,3835,0,0
1400000US06037115401,6037115401,2020,6185,1,1.6168149
1400000US06037115403,6037115403,2020,3597,0,0
1400000US06037115404,6037115404,2020,2897,0,0
1400000US06037117101,6037117101,2020,5094,0,0
1400000US06037117102,6037117102,2020,2745,0,0
1400000US06037117201,6037117201,2020,5126,0,0
1400000US06037117202,6037117202,2020,2857,0,0
1400000US06037117301,6037117301,2020,3679,0,0
1400000US06037117302,6037117302,2020,4932,0,0
1400000US06037117303,6037117303,2020,4369,0,0
1400000US06037117404,6037117404,2020,5646,0,0
1400000US06037117405,6037117405,2020,3421,0,0
1400000US06037117407,6037117407,2020,3715,0,0
1400000US06037117408,6037117408,2020,2803,0,0
